Product Name,Brand,Packing,Crops,Target Pests,Category,ID
ACEPHATE 25% + FENVALERATE 3% ML,FENACE,10X1 LTR,Cotton,Leafhopper,insecticides,1
ACEPHATE 50% + IMIDACLOPRID 1.8% SP,ACETOP,10X500 GM,Cotton,Leafhopper,insecticides,2
ACEPHATE 75% SP,EVEREST,10X1 KG; 20X500 GM,Cotton Rice Sugarcane,Jassid Bollworm,insecticides,3
ACEPHATE 75% SP,SULFAG,10X1 KG; 20X500 GM,Cotton Rice Sugarcane,Jassid Bollworm,insecticides,4
ACEPHATE 75% SP + CYPERMETHRIN 5% EC,ACETHRIN,10X1 LTR,Cotton,Leafhopper Bollworm,insecticides,5
BIFENTHRIN 10% EC,SULFAG,10X1 LTR,Cotton,Whitefly Bollworm,insecticides,6
CARTAP HYDROCHLORIDE 50%SP,SULFAG,10X1 KG; 20X500 GM,Rice,Stem Borer,insecticides,12
CHLORANTRANILIPROLE 18.5% SC,CORAGEN,10X1 LTR,Cotton Rice,Helicoverpa Bollworm,insecticides,13
CHLORPYRIFOS 20% EC,SULFAG,10X1 LTR,Cotton Rice,Termite Bollworm,insecticides,14
CHLORPYRIFOS 50% EC,SULFAG,10X1 LTR,Cotton Rice,Termite Bollworm,insecticides,15
CYPERMETHRIN 10% EC,SULFAG,10X1 LTR,Cotton,Whitefly Bollworm,insecticides,16
CYPERMETHRIN 25% EC,SULFAG,10X1 LTR,Cotton,Whitefly Bollworm,insecticides,17
DIAFENTHIURON 50% WP,PEGASUS,10X500 GM,Cotton,Whitefly,insecticides,18
DIMETHOATE 30% EC,SULFAG,10X1 LTR,Cotton Rice,Leafhopper Aphid,insecticides,20
EMAMECTIN BENZOATE 5% SG,PROCLAIM,10X500 GM,Cotton Tomato,Helicoverpa Fruit Borer,insecticides,21
FIPRONIL 5% SC,REGENT,10X1 LTR,Cotton Rice,Termite Stem Borer,insecticides,22
FLUBENDIAMIDE 20% WG,FLUBEN,10X500 GM,Cotton,Helicoverpa Bollworm,insecticides,23
IMIDACLOPRID 17.8% SL,SULFAG,10X1 LTR,Cotton Rice,Leafhopper Stem Borer,insecticides,24
LAMBDA CYHALOTHRIN 5% EC,SULFAG,10X1 LTR,Cotton,Whitefly Bollworm,insecticides,25
MONOCROTOPHOS 36% SL,SULFAG,10X1 LTR,Cotton Rice,Leafhopper Bollworm,insecticides,26
PROFENOFOS 50% EC,SULFAG,10X1 LTR,Cotton Rice,Helicoverpa Bollworm,insecticides,27
PYRIPROXYFEN 10% EC,ADMIRAL,10X1 LTR,Cotton,Whitefly,insecticides,28
QUINALPHOS 25% EC,SULFAG,10X1 LTR,Cotton Rice,Helicoverpa Bollworm,insecticides,29
SPINOSAD 45% SC,SUCCESS,10X1 LTR,Cotton Tomato,Helicoverpa Fruit Borer,insecticides,30
THIAMETHOXAM 25% WG,ACTARA,10X500 GM,Cotton Rice,Leafhopper Stem Borer,insecticides,31
ACETAMIPRID 20% SP,SULFAG,10X500 GM,Cotton Rice,Leafhopper Aphid,insecticides,32
AZOXYSTROBIN 23% SC,AMISTAR,10X1 LTR,Rice Wheat,Blast Rust,fungicides,34
CARBENDAZIM 50% WP,SULFAG,10X500 GM,Rice Wheat,Blast Rust,fungicides,35
HEXACONAZOLE 5% EC,SULFAG,10X1 LTR,Rice Wheat,Blast Rust,fungicides,36
MANCOZEB 75% WP,SULFAG,10X1 KG; 20X500 GM,Rice Wheat,Blast Rust,fungicides,37
PROPICONAZOLE 25% EC,SULFAG,10X1 LTR,Rice Wheat,Blast Rust,fungicides,38
TEBUCONAZOLE 25% EC,SULFAG,10X1 LTR,Rice Wheat,Blast Rust,fungicides,39
TRICYCLAZOLE 75% WP,SULFAG,10X500 GM,Rice,Blast,fungicides,40
2 4-D AMINE 58% SL,SULFAG,10X1 LTR,Rice Wheat,Broadleaf Weeds,herbicides,41
GLYPHOSATE 41% SL,SULFAG,10X1 LTR,All Crops,All Weeds,herbicides,42
PENDIMETHALIN 30% EC,SULFAG,10X1 LTR,Rice Wheat,Grassy Weeds,herbicides,43
PRETILACHLOR 50% EC,SULFAG,10X1 LTR,Rice,Grassy Weeds,herbicides,44
BORON 20% SP,SULFAG,10X1 KG,All Crops,Nutrient Deficiency,specialty,45
NPK 19:19:19,SULFAG,10X1 KG,All Crops,Nutrient Supply,specialty,46
ZINC SULPHATE 21% SP,SULFAG,10X1 KG,All Crops,Nutrient Deficiency,specialty,47

