Product Name,Brand,Packing,Crops,Target Pests,Category
ACEPHATE 25% + FENVALERATE 3% ML,FENACE,10X1 LTR; 20X500 ML,Vegetables rice,Aphids leafhoppers whiteflies and Bollworms,Insecticides
ACEPHATE 50% + IMIDACLOPRID 1.8%,ACER GOLD,10X1 KG; 20X500 GM; 40X250 GM,Cotton Rice Maize Vegetables Pulses Sugarcane,Aphids jassids whiteflies thrips stem borers and fruit borers,Insecticides
ACEPHATE 75% SP,EVEREST,10X1 KG; 20X500 GM; 40X250 GM,Cotton Rice Sugarcane Vegetables,Jassid Bollworm Stem Borer Leaf Folder Green Leaf Hopper Plant Hopper,Insecticides
ACETAMIPRID 20% SP,PROMISE,20X250 GM; 50X100 GM,Cotton,Aphids Jassids White Flies,Insecticides
BIFENTHRIN 10% EC,SOCCER,10X1 LTR; 20X500 ML; 40X250 ML,Cotton Sugarcane Rice,Bollworm Whitefly Termites Stemborer Leaf Folder,Insecticides
CARBOFURAN 3% G,FUTURE 3G,5X5 KG; 25X1 KG,Paddy Cotton Groundnut Sugarcane,Shoot fly of bajra Brown plant hopper gall midge green leaf hopper hispastemborer,Insecticides
CARTAP HYDROCHLORIDE 4% G,CALVEX 4G,5X5 KG; 25X1 KG,Rice,Stem Borer Leaf Folder & Whorl Maggot,Insecticides
CARTAP HYDROCHLORIDE 50%,CALVEX 50,20X500 GM; 40X250 GM; 100X100 GM,Rice,Stem Borer Leaf Folder,Insecticides
CHLORPYRIPHOS 2% RTU,CHLORIT,1X20 LTR; 2X5 LTR; 10X1 LTR,Paddy cotton maize sugarcane vegetables fruits,Stem borers leaf folders bollworms mites and termites,Insecticides
CHLORPYRIPHOS 10% GR,SULMET,5X5 KG; 25X1 KG,Sugarcane Cotton Groundnut,Stem Borer Leaf Folder Gall Midge Plant Hopper,Insecticides
CHLORPYRIPHOS 20% EC,SULBAN 20,1X20 LTR; 2X5 LTR; 10X1 LTR; 20X500 ML,Cotton Rice Sugarcane Vegetables,Stem Borer Shoot Borer Fruit Borer Aphids Jassids Whiteflies,Insecticides
CHLORPYRIPHOS 1.5% DP,SULBAN DP,25 KG; 5X10 KG; 10X5 KG; 40X1 KG,Paddy Wheat Vegetables Pulses,Termites Stem Borers And Leaf Folders,Insecticides
CHLORPYRIPHOS 50% EC,PROTECTOR,10X1 LTR; 20X500 ML; 40X250 ML,Cotton Rice,Aphids Thrips Jassid Stem Borer Leaf Folder,Insecticides
CHLORPYRIPHOS 50% + CYPERMETHRIN 5% EC,TARGET,2X5 LTR; 10X1 LTR; 20X500 ML; 40X250 ML,Cotton Paddy Vegetables Pulses Soybean,Aphids jassids thrips whiteflies and bollworms stem borers,Insecticides
CYPERMETHRIN 10% EC,PERMITE 10,2X5 LTR; 10X1 LTR; 20X500 ML; 40X250 ML,Cotton Sugarcane Okra Brinjal Cabbage,American Bollworm Spotted Boll worm Fruit borer Early shoot Borer Caterpillar,Insecticides
CYPERMETHRIN 25% EC,PERMITE 25,2X5 LTR; 10X1 LTR; 20X500 ML; 40X250 ML,Cotton Bhindi Brinjal,Bollworms Shoot & Fruit Borers Jassids,Insecticides
EMAMECTIN BENZOATE 1.9% EC,PILMA PLUS,10X1 LTR; 20X500 ML; 40X250 ML,Cotton,Bollworms,Insecticides
EMAMECTIN BENZOATE 5% SG,CHANDRALEKHA,10X500G; 20X250G; 40X100G; 60X50G,Grapes Redgram Cotton Cabbage Brinjal Okra Chilli,Thrips Pod Borer Bollworms Diamond Back Moth Fruit & Shoot Borer Mites,Insecticides
IMIDACLOPRID 17.8% SL,IMIDOL,10X1 LTR; 20X500 ML; 40X250 ML,Paddy Cotton,Sucking Pest And Other Important Insect Pests,Insecticides
IMIDACLOPRID 30.5% SC,IMIDOL PLUS,2X5 LTR; 10X1 LTR,Cotton Rice Fruits,Termites Jassids Aphids Thrips Brown Plant Hopper White Backed Hopper,Insecticides
LAMBDA CYHALOTHRIN 2.5% EC,RUN DRAGON,20 LTR; 2X5 LTR; 10X1 LTR; 20X500 ML,Cotton,Boll Worm Thrips Jassids,Insecticides
LAMBDA CYHALOTHRIN 5% EC,DRAGON SIXER,20 LTR; 2X5 LTR; 10X1 LTR; 20X500 ML,Cotton Brinjal Tomato Chilli Rice Onion Groundnut,Stem Borer Fruit Borer Leaf Folder Pod Borer Gallmidge Bollworm Aphids,Insecticides
MALATHION 50% EC,SULTHION,20 LTR; 2X5 LTR; 10X1 LTR; 20X500 ML,Grape Mango Cereals Sorghum Tomato Paddy,Beetle Mealy Scale Sorghum Midge White Fly Rice Hispa Mustard Aphid,Insecticides
PROFENOPHOS 40% + CYPERMETHRIN 4% EC,KITE 44,10X1 LTR; 20X500 ML; 40X250 ML,Cotton,Bollworm Complex,Insecticides
PROPARGITE 57% EC,KILMITE,10X1 LTR; 20X500 ML; 40X250 ML,Tea Brinjal Chillies Apple,Red Spider Mite Two Spotted Spider Mite Mite,Insecticides
THIAMETHOXAM 25% WG,KEPLER,10X1 KG; 10X500 GM; 250 GM; 40X100 GM,Mango Potato Cotton Wheat Tea Cumin Tomato,Hoppers Aphids Jassids Whiteflies,Insecticides
CARBENDAZIM 50% WP,SULVISTIN,10X1 KG; 20X500 GM; 40X250 GM,Cotton brinjal grapes and groundnut,Blast and sheath blight in rice leaf spot in cotton and groundnut and powdery mildew,Fungicides
CARBENDAZIM 12% + MANCOZEB 63% WP,SHOOT,10X1 KG; 20X500 GM; 40X250 GM,Potato Tea Paddy Groundnut,Early Blight Late Blight Blister Blight Blast Leaf Spot Black Rot Red Rust,Fungicides
HEXACONAZOLE 5% EC,PRAISE PLUS,10X1 LTR; 20X500 ML; 40X250 ML,Grapes Mango Tea Rice Groundnut Apple Soybean,Powdery Mildew Blister Blight Sheath Blight Leaf Spot Rust,Fungicides
MANCOZEB 75% WDP,S-45,10X1 KG; 20X500 GM; 40X250 GM,Grapes Guava Potato Banana Wheat Cumin Jowar,Angular Leaf Spot Fruit Rot Late Blight Blast Collar Rot Leaf Blight,Fungicides
SULPHUR 80% WDG,SULFAVET,200X500 GM,Grapes Mango Cumin Cowpea Guar Pea Apple,Powdery Mildew Scab,Fungicides
TRICYCLOZOLE 75% WP,SULVIC,100X120 ML; 50X120 GM,Rice Chilli Groundnut,Blast Powdery Mildew & Fruit Rot Tikka Rust,Fungicides
2 4-D SODIUM SALT 80% WP,WEED REMOVER,40X500 GM; 20X500 GM,Sorghum Maize Sugarcane Wheat Potato,Broadleaf Weeds And Sedges,Herbicides
ATRAZINE 50% WP,SULTAP 50,40X500 GM; 20X500 GM,Maize Sugarcane,Controlling Broadleaf And Grassy Weeds,Herbicides
GLYPHOSATE 41% SL,GLYPOS,2X5 LTR; 10X1 LTR; 20X500 ML; 40X250 ML,Tea Non cropped areas,Axonopus Compresses,Herbicides
IMAZETHAPYR 10% SL,ZAMEER,4X1 LTR; 6X500 ML; 10X250 ML,Soybeans Peanuts Black gram green gram pigeon pea,Offers pre-emergence and post-emergence control,Herbicides
METRIBUZIN 70% WP,SULMETRI,10X500 G; 20X250 G; 50X100 G,Wheat Soybean,Phalaris minor chenopodium album Melilotus spp cyperus campestris,Herbicides
PARAQUAT DICHLORIDE 24% SL,IMMEDIATE,2X5 LTR; 10X1 LTR; 20X500 ML; 40X250 ML,Grapes Potato Cotton Wheat Tea Aquatic Weeds,Cyperus Rotundus Digera Arvensis,Herbicides
PRETILACHLOR 50% EC,REMOVE,10X1 LTR; 20X500 ML; 40X250 ML,Transplanted Paddy,Spectrum Of Weeds Including Annual Grasses Sedges And Broad-Leaf Weeds,Herbicides

